Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
BRAITTNER PORTUGAL MARCOLINO - ME;14/07/2016;Serra Azul;SP
BRASCOM SOLUCOES E TECNOLOGIA LTDA - ME;13/02/2017;Rio de Janeiro;RJ
BRASCONECT INFORMATICA LTDA;28/04/2010;Brazópolis;MG
BRASIL CARRIER SERVICOS DE COMUNICACAO MULTIMIDIA EIRELI - ME;23/02/2017;Pelotas;RS
BRASIL DIGITAL SERVIÇOS DE INFORMÁTICA E COMÉRCIO LTDA - ME;19/03/2015;Porto Velho;RO
BRASIL INTERNET LTDA;17/01/2011;Paraopeba;MG
BRASIL LIKE TELECOMUNICACOES LTDA - ME;04/07/2016;Campanha;MG
BRASIL NET EMPREENDIMENTOS LTDA  - ME;15/01/2014;Balsas;MA
BRASIL NET PAPELARIA E PROVEDOR DE INTERNET LTDA - EPP;19/08/2014;Porto Alegre do Norte;MT
BRASIL NET SERVICOS DE TELECOMUNICACOES LTDA - ME;02/03/2015;Itaituba;PA
BRASIL NETSERVICES LTDA.;22/07/2011;São Paulo;SP
BRASIL NETWORKS LTDA;25/01/2011;Congonhal;MG
BRASIL NORTE TELECOMUNICAÇÕES LTDA - ME;27/03/2015;Canaã dos Carajás;PA
BRASIL PROVEDOR DE INTERNET LTDA ME;06/06/2014;São Desidério;BA
BRASIL RADIOWAVE LTDA-ME;12/11/2004;Guarapari;ES
BRASIL REDES COMUNICACOES LTDA - ME;12/12/2016;Jaboatão dos Guararapes;PE
BRASIL STARLINK TELECOMUNICAÇÕES LTDA - EPP;07/05/2015;Nova Lima;MG
BRASIL TELECOM COMUNICACAO MULTIMIDIA LTDA;05/09/2005;São Paulo;SP
BRASIL TELECOMUNICAÇÕES S.A.;04/09/2007;Contagem;MG
BRASIL TURBONET LTDA - ME;04/01/2017;Goiânia;GO
BRASIL WIFI LTDA - EPP;29/03/2017;Rio Claro;SP
BRASILIA BANDA LARGA LTDA - ME;26/12/2016;Brasília;DF
BRASILIANET PROVEDOR DE INTERNET LTDA - ME;03/09/2013;Brasília;DF
BRASILINK TELECOMUNICAÇÕES EIRELI;16/12/2014;Tianguá;CE
BRASIL-IP TELECOMUNICAÇÕES LTDA - ME;30/04/2015;Bananal;SP
BRASILNET INTERNET BANDA LARGA LTDA - ME;28/04/2010;Imperatriz;MA
BRASILNET SERVIÇOS E TELECOMUNICAÇÕES LTDA ME;25/09/2012;São Mateus;ES
BRASILNET TELECOM LTDA - ME;22/12/2009;Palmas;TO
BRASILNET TELECOMUNICAÇÕES DO PARANÁ LTDA ME;18/02/2014;Cornélio Procópio;PR
BRASILNET TELECOMUNICACOES LTDA ME;22/01/2008;Cantagalo;RJ
BRASILNETS COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA LTDA - ME;22/03/2010;Joinville;SC
BRASILNETWORKS SOLUCOES DIGITAIS LTDA - ME;03/11/2016;Campo Grande;MS
BRASILSITE TELECOMUNICACOES LTDA;24/10/2003;Barueri;SP
BRASILTEC SOLUÇÕES DIGITAIS EIRELI - ME;30/11/2009;Campo Grande;MS
BRASNET ONLINE TELECOMUNICACOES LTDA;24/06/2002;Macapá;AP
BRASNET PROVEDOR DE INTERNET LTDA - ME;08/01/2013;Brasnorte;MT
BRASNET WEB INFORMATICA LTDA;22/06/2009;Brasília;DF
BRASREDE TELECOMUNICACOES LTDA - EPP;17/10/2007;Arroio do Meio;RS
BRASTURBO TELECOMUNICAÇÕES LTDA;08/10/2012;Guaranésia;MG
BRATELCO TELECOMUNICACOES LTDA;17/11/2010;Porto Alegre;RS
BRAUDES & SA LTDA;11/10/2011;Goianésia;GO
BRAUZA & ONETTA ENTRETENIMENTO LTDA - ME;16/10/2015;Bocaiúva do Sul;PR
BRAVA TELECOMUNICACOES BRASILIA LTDA;06/10/2011;Brasília;DF
BRAVA TELECOMUNICAÇÕES CACERES LTDA - ME;10/06/2009;Cáceres;MT
BRAVA TELECOMUNICAÇÕES RONDONOPOLIS LTDA - ME ;22/07/2014;Rondonópolis;MT
BRAVANET PROVEDORES LTDA - EPP;24/01/2014;Itapetininga;SP
BRAWNET COMERCIO E SERVIÇOS LTDA  ME;31/10/2012;Barreiras;BA
BRAYANNET COMUNICACAO E MIDIA LTDA - EPP;06/02/2017;Recife;PE
BRAZ ACESSO LTDA-ME;23/02/2006;Macapá;AP
BRAZNET TELECOM SERVIÇOS EM TELECOMUNICAÇÃO LTDA - ME;01/10/2014;Rio de Janeiro;RJ
BRAZNET TELECOMUNICAÇÕES EIRELI - ME;28/04/2015;Pouso Alegre;MG
BREEZE COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA - EPP;06/02/2017;Manaus;AM
BREM TECHNOLOGY LTDA - ME;23/03/2015;Sorocaba;SP
BRENDON  C  B  DE  CASTRO - ME;17/11/2016;Cocal;PI
BRFIBRA TELECOMUNICACOES LTDA;05/09/2002;Porto Alegre;RS
BRICK TELECOMUNICAÇÕES LTDA - ME;19/03/2015;Gaspar;SC
BRIDGENET LTDA - ME;08/09/2016;Serrania;MG
BRIP MULTIMÍDIA LTDA;06/05/2010;Volta Redonda;RJ
BRISANET SERVICOS DE TELECOMUNICACOES LTDA;05/03/2004;Pereiro;CE
BRITIS TELECOM LTDA;23/08/2004;Pouso Alegre;MG
BRITO & GONCALVES LTDA - ME;21/06/2016;Ivinhema;MS
BRNET TELECOMUNICAÇÕES LTDA. ME;15/12/2005;Bom Retiro do Sul;RS
BROADVOZ TI E TELECOMUNICACOES LTDA-ME;27/04/2012;Nova Lima;MG
BROS TELECOMUNICACOES LTDA;06/02/2017;Rio de Janeiro;RJ
BROSEGHINI LTDA;03/08/2010;Santa Maria de Jetibá;ES
BROTHER BUSINESS INFORMATICA, TECNOLOGIA E PUBLICIDADE LTDA;23/06/2010;Brasília;DF
BROTHER'S LAN HOUSE LTDA - ME;22/02/2013;São Paulo;SP
BRPHONIA PROVEDOR IP LTDA.;22/12/2009;Santa Rosa;RS
BRSULNET TELECOM LTDA ME;12/01/2012;São Marcos;RS
BRT COMERCIO DE PRODUTOS DE INFORMATICA LTDA;03/07/2008;Gurupi;TO
BRUMANET LTDA;06/04/2010;Brumadinho;MG
Bruno Alessando Vicente da Silva ME;24/03/2015;Recife;PE
BRUNO BERNARDO INFORMATICA - ME;02/07/2012;Macedônia;SP
BRUNO CAMPOS VALENTE FLORENTINO - ME;21/06/2016;Mantena;MG
BRUNO GRANADIER ESCORSIN;13/04/2016;Carlópolis;PR
BRUNO LEONARDO BASSANI - B.L.B. INFORMATICA;16/05/2017;Campo Mourão;PR
BRUNO LEONARDO DA SILVA BARBOSA - ME;05/08/2016;São José do Rio Preto;SP
BRUNO LUIZ DE MOURA - ME;02/09/2016;Lagoa dos Gatos;PE
BRUNO NASCIMENTO SANTOS MOREIRA;17/03/2009;Prudente de Morais;MG
BRUNO PAES PEDRO - ME;19/11/2015;Itariri;SP
BRUNO RODRIGUES TEIXEIRA - ME;01/02/2016;Granja;CE
BRUNO SILVA GUIMARAES - ME;17/11/2016;Catalão;GO
BRUNO SOUSA DA SILVA - ME;22/10/2013;Campina Grande;PB
BRUNO TODER SANTOS - ME;24/03/2011;Cajobi;SP
BRW TELECOM LTDA - ME;08/07/2016;Horizonte;CE
BRXNQ TELECOMUNICACOES LTDA;09/12/2009;Brasília;DF
BS CONECT TELECOMUNICAÇÕES  LTDA;25/08/2011;Itapira;SP
BSA COMÉRCIO E SERVIÇOS EM TELECOMUNICAÇÕES LTDA;14/12/2004;São Paulo;SP
BSB LINK INFORMATICA EIRELI - ME;29/12/2016;Brasília;DF
BSB TIC SOLUCOES EIRELI - EPP;26/05/2006;Brasília;DF
BSI TELECOM EIRELI EPP;07/03/2016;Passos;MG
BT BRASIL SERVIÇOS DE TELECOMUNICAÇÕES LTDA.;23/09/1998;Hortolândia;SP
BT COMMUNICATIONS DO BRASIL LTDA;22/10/1999;São Paulo;SP
BT LATAM BRASIL LTDA;06/09/2004;Hortolândia;SP
BUENO TECNOLOGIA E SOLUÇÕES LTDA - ME;09/05/2016;Brasília;DF
BUENOS NET TECNOLOGIA LTDA - ME;16/10/2015;Buenos Aires;PE
BURDA COMERCIO E SERVICOS LTDA. - ME;18/03/2013;Maracaju;MS
BURKNER DOS SANTOS & CIA LTDA.;11/06/2010;Ponta Grossa;PR
BUSATTO INTERNET E SUPRIMENTOS DE INFORMÁTICA LTDA ME;27/05/2014;Vargem Bonita;SC
BUTZEN E MENTGES LTDA;09/07/2010;São Paulo das Missões;RS
BVNET SERVIÇOS E COMUNICAÇÃO - EIRELI - ME;11/05/2016;Boa Vista;RR
BWA TECNOLOGIA E SOLUÇÕES LTDA;28/12/2010;Maceió;AL
BY AIR TELECOM LTDA - EPP;31/10/2012;Curitiba;PR
Byal Telecom Ltda EPP;01/04/2008;Almenara;MG
BYANCA DIAS DA SILVA - ME;03/05/2017;Nazário;GO
BYTE NET TECNOLOGIA LTDA - ME;04/02/2015;Sete Lagoas;MG
BYTE SHOP CONVENIENCIA - EIRELI - ME;03/05/2017;Novo Gama;GO
BYTEWEB COMUNICACAO MULTIMIDIA LTDA;11/03/2010;Americana;SP
C & A NET INFORMATICA E INTERNET LTDA - ME;10/12/2013;Fortaleza;CE
C & O INFORMATICA LTDA - ME;03/08/2016;Sítio do Mato;BA
C 2 TELECOMUNICACAO LTDA - ME;06/09/2017;Indiavaí;MT
C A DE OLIVEIRA PROVEDOR DE ACESSO A INTERNET - ME;24/08/2015;Parnamirim;RN
C A DE SOUZA - EPP;28/11/2016;Balneário Camboriú;SC
C ANDRE C SILVA - ME;17/03/2017;Pinheiro;MA
C B DOS SANTOS BRAGA - ME;02/10/2017;Campos dos Goytacazes;RJ
C DE ARAÚJO PINTO - ME;04/08/2016;Gurupi;TO
C DE LIMA TELECOMUNICAÇÕES - ME;30/03/2016;Campinas;SP
C DE SOUSA BEZERRA - ME;29/12/2016;Farias Brito;CE
C DE SOUZA LEITE - ME;18/03/2015;Assaré;CE
C E B DO AMARAL COMUNICAÇÃO - ME;07/12/2015;Areiópolis;SP
C F DA SILVA INFORNET - ME;24/03/2015;Caruaru;PE
C ITANARO COELHO - ME;29/09/2016;Estância Velha;RS
C J CHRIST EIRELI;10/04/2014;Aracruz;ES
C L ABREU DOS SANTOS - ME;31/01/2017;Fortaleza;CE
C M NUNES TELECOMUNICAÇÕES ME;09/04/2013;Anápolis;GO
C M PINTO DOS SANTOS - ME;29/07/2016;Itapipoca;CE
C M S MARTINS - ME;13/02/2015;Santa Inês;MA
C MEDEIROS RAMOS EIRELI - ME;16/10/2017;Manaus;AM
C P NET - PROVEDOR DE INTERNET BANDA LARGA LTDA - ME;04/10/2016;Brasília;DF
C P PINTO - ME;11/08/2016;Assaré;CE
C P SARMENTO;22/02/2013;Santa Inês;MA
C R BARDI & CIA LTDA;12/02/2009;Loanda;PR
C R L TELECOMUNICACOES LTDA - ME;21/03/2013;São Francisco de Itabapoana;RJ
C R NETWORK TELECOM LTDA - ME ;02/07/2014;Mimoso do Sul;ES
C S ALVES PAES - ME;28/11/2013;Manaus;AM
C T DE ARAUJO - ME;27/01/2017;Arapiraca;AL
C W B DA SILVA TELECOMUNICAÇÕES;05/05/2017;Miraíma;CE
C&W COMERCIO E RECARGA DE CARTUCHOS LTDA ME;12/01/2012;Brasília;DF
C. D. DE FREITAS CUSTODIO  ME;09/05/2011;Iúna;ES
C. DA COSTA SILVA-ME;15/12/2014;Telêmaco Borba;PR
C. E. DE FREITAS EIRELI - ME;26/09/2017;Araputanga;MT
C. E. MIRANDA & GONÇALVES LTDA - ME;11/12/2013;Imbaú;PR
C. E. S. FREIRE ME & FREIRE CIA LTDA - ME;01/12/2015;Juranda;PR
C. GOMES DE SOUSA INFORMATICA - ME;17/09/2014;Alta Floresta D'Oeste;RO
C. H. MALUZA & CIA LTDA;09/04/2013;Cornélio Procópio;PR
C. HOKI DA COSTA & CIA LTDA - ME;10/12/2015;Dourados;MS
C. J. ALVES NETWORK SERVICOS DE INFORMATICA E INTERNET LTDA-ME;10/05/2012;São Gonçalo;RJ
C. J. F. BATISTA  - ME;29/11/2017;Suzano;SP
C. M. ENEAS - EPP;21/11/2016;Fortaleza;CE
C. P. DE BRITO;17/01/2011;Felixlândia;MG
C. P. MOVEIS E ELETRODOMESTICOS LTDA;18/08/2009;Paraguaçu Paulista;SP
C. R. DE S. MENDES COMERCIO E SERVICOS EIRELI - ME;06/02/2017;Almeirim;PA
C. S. - NET INFORMATICA E TECNOLOGIA LTDA;28/04/2010;Arroio Trinta;SC
C. S. DA SILVA GUERREIRO EIRELI ME;31/12/2008;Santana;AP
C. SIDNEI DOS SANTOS - ME;04/02/2015;Sapezal;MT
C. T. BOLLER ME;05/05/2009;Iguatemi;MS
C.B. MACEDO PROVEDOR DE INTERNET - ME;22/11/2016;Corumbataí do Sul;PR
C.F. SCANDURA INFORMATICA - ME;27/05/2014;São Paulo;SP
C.M.D. INFORMATICA LTDA.;27/06/2008;Santa Helena;PR
C.M.F. DE OLIVEIRA TELECOMUNICAÇÕES - ME;08/09/2014;Serra;ES
C.P. SILVA TELECOMUNICACOES - ME;13/02/2017;São Paulo;SP
C.R. MARCILIO PAZ - ME;05/02/2016;Alto Alegre dos Parecis;RO
C.S .TAVARES;08/07/2014;Gurupi;TO
C2 TELECOMUNICAÇOES E SERVIÇOS LTDA;04/02/2010;Assis Chateaubriand;PR
C2M SERVICOS DE INFORMATICA E TELECOMUNICACOES EIRELI - ME;27/07/2016;Ji-Paraná;RO
CABANGU INTERNET LTDA ME;29/10/2009;Santos Dumont;MG
CABLE.COM TELECOMUNICAÇÕES LTDA.;25/09/2012;Itabuna;BA
CABLENET TELECOMUNICACOES EIRELI - EPP;24/08/2017;Hortolândia;SP
CABO COMUNICAÇÕES LTDA;03/01/2012;Natal;RN
CABO SERVIÇOS DE TELECOMUNICAÇÕES LTDA.;04/12/2006;Natal;RN
CABONETT INTERNET E INFORMATICA EIRELI - ME;24/04/2017;Palhoça;SC
CABONNET TELECOMUNICAÇÕES EIRELI - ME;04/12/2006;Assis;SP
CABRAL NET TELECOMUNICACAO LTDA - ME;27/09/2016;Aracaju;SE
CADMIEL FRANCA MATIAS INFORMATICA - ME;28/10/2014;Itaperuçu;PR
CAETANO BARONI ORLANDINI;03/08/2010;Santa Helena de Goiás;GO
CAEZAR PROVEDOR DE INTERNET LTDA;28/12/2007;São Sebastião do Caí;RS
CAIOBA FIBRA COMUNICACOES LTDA - ME;22/08/2016;Matinhos;PR
CAIQUE ALMEIDA SILVA - ME;04/10/2016;Canindé;CE
CALAZANS & PASUCH LTDA - ME;27/03/2012;Missal;PR
CALCONTEC TELECOMUNICAÇÕES E INFORMATICA LTDA.-ME;15/12/2006;Marília;SP
CALDERAN & GIOVANINI LTDA EPP;04/03/2015;São Gabriel do Oeste;MS
CALEMAS COMERCIO E SERVIÇOS LTDA - EPP;22/02/2016;Sorocaba;SP
CALLIERO & CIA. LTDA - EPP;28/04/2015;Sobradinho;RS
CALU.COM COMERCIO E SERVICOS DE INFORMATICA TELECOMUNICAÇÕES E SUPRIMENTOS LTDA - ME;17/08/2016;São Paulo;SP
CAMACARI SIGNAL WIRELESS LTDA - ME;16/12/2014;Camaçari;BA
CAMALEÃO NETWORK LTDA;22/12/2009;Ribeirão Bonito;SP
CAMILA MENDONÇA AMOEDO - ME;11/06/2010;Avaré;SP
CAMOCIM SERVIÇO DE INTERNET LTDA;05/12/2005;Camocim;CE
CAMON PROVEDOR SOLUCOES EM INTERNET LTDA ME;24/07/2008;Brasília;DF
CAMP ASSISTENCIA TECNICA LTDA ME;23/10/2007;Taquara;RS
CAMPINET - INTERNET VIA RADIO EIRELI - ME;26/12/2016;Dourados;MS
CAMPOSNET INFORMÁTICA LTDA - ME;05/05/2014;Campos Novos Paulista;SP
CANAA TELECOMUNICACOES LTDA - ME;10/01/2017;Goiânia;GO
CANAL 27 COMUNICAÇÕES EIRELLI;06/12/2011;Brasília;DF
CANAL DIRETO COMERCIO E SERVIÇOS LTDA;20/12/2007;João Pessoa;PB
CANAL TELECOM TECNOLOGIA LTDA;10/04/2012;São José;SC
CANEJO ASSESSORIA EM TELECOMUNICAÇÃO LTDA - ME;12/04/2011;Mauá;SP
CANET INTERNET E TELECOM LTDA - ME;01/12/2015;Guarujá;SP
CANGERE ONLINE PROVEDOR DE INTERNET LTDA;26/01/2010;Campos Gerais;MG
CAPELINHA INFORMATICA LTDA;01/06/2010;Capelinha;MG
CAPINZALNET SERVIÇOS LTDA EPP;02/04/2012;Capinzal;SC
CARANDAINET SERVICOS DE INTERNET LTDA - ME;02/09/2013;Carandaí;MG
CARANGOLA TELECOMUNICAÇÕES LTDA;10/06/2009;Carangola;MG
CARATINGA INFORMATICA LTDA;23/04/2013;Caratinga;MG
CARDOSO COMUNICACOES LIMITADA;25/08/2011;Inhumas;GO
CARDOSONET INTERNET E SERVIÇOS DE INFORMÁTICA LTDA;29/03/2011;Cardoso Moreira;RJ
CAREASSUNET INFORMATICA LTDA - ME;10/04/2012;Careaçu;MG
CARIRIWEB PROVEDORES DE INTERNET LTDA;04/09/2007;Sumé;PB
CARLA ANDREIA ARAUJO DE OLIVEIRA;08/11/2012;Planaltina;GO
CARLA CRISTINE CUMIN & CIA LTDA;11/08/2015;Rio Branco do Sul;PR
CARLA FIALHO 90263766691 - ME;31/08/2017;Campanário;MG
CARLA MACHADO INTERNET - ME;06/05/2014;Tijucas;SC
CARLESSI COMERCIO E SOLUCOES DE INTERNET LTDA ME ;11/07/2011;São José dos Ausentes;RS
CARLIANE CARDOSO RIBEIRO - ME;26/08/2014;Urucuia;MG
CARLOS A DE L SANTOS FILHO - ME;10/11/2014;Teresina;PI
CARLOS ALBERTO LOPES - PROVEDOR - ME;31/01/2017;Palestina;SP
CARLOS ALEXANDRE AGE NETTO;03/05/2017;Rio de Janeiro;RJ
CARLOS ALEXANDRE G. DO P. SOBRAL - ME;11/02/2016;Cachoeirinha;PE
CARLOS ALVES DA SILVA ME;25/01/2012;Imbituba;SC
CARLOS ANDRE OLIVEIRA BRANQUINHO - ME;29/09/2017;Tuparetama;PE
CARLOS BARBOZA DAVILA;17/05/2011;Bagé;RS
CARLOS DEMETRIO DE CARVALHO MACEDO - ME;10/10/2016;Bodocó;PE
CARLOS EDUARDO CORDEIRO DE SOUZA - ME;19/05/2014;Mauá;SP
CARLOS EDUARDO DE ALMEIDA INFORMATICA - ME;06/09/2016;Trabiju;SP
CARLOS EDUARDO DE CARVALHO SILVA ME;28/10/2011;Cachoeira de Minas;MG
CARLOS GUILHERME STOLZ ME;01/12/2009;Paracuru;CE
CARLOS HENRIQUE PAIVA DE ASSIS 08958282606;10/10/2016;Senhora dos Remédios;MG
CARLOS HENRIQUE SANTOS DE OLIVEIRA ME;02/04/2013;Fortaleza;CE
CARLOS MAURICIO SCHUCK;06/12/2010;Cachoeira do Sul;RS
CARLOS ROBERTO CARNEIRO SILVA - ME;01/02/2016;Franco da Rocha;SP
CARNAUBANET LTDA;10/07/2008;Campo Maior;PI
CARNEIRO INFORMATICA LTDA;04/11/2015;Santa Quitéria;CE
CAROLINA ON LINE COMUNICACAO MULTIMIDIA LTDA;05/11/2009;Carolina;MA
CAROLINE FONSECA FERNANDES - ME;06/02/2017;Boquim;SE
CARRARA & CARRARA COMERCIO E SERVIÇOS DE INFORMATICA LTDA - ME;21/03/2016;Piracicaba;SP
CARRARO TELECOM LTDA - ME;30/11/2015;Campina Grande do Sul;PR
CARRARO, HAINOSZ & CIA LTDA;22/09/2009;Pitanga;PR
CARRENHO E PELEGRINO LTDA-ME;30/04/2008;Juara;MT
CARTECH INFORMÁTICA LTDA.;26/01/2010;Goiânia;GO
CARUARU ONLINE LTDA;17/08/2016;Caruaru;PE
CARVALHO E SILVA  LTDA;04/08/2011;Pouso Alegre;MG
CAS SERVICO DE COMUNICACAO MULTIMIDIA LTDA - ME;08/05/2015;São Mateus do Maranhão;MA
CASA DO PROVEDOR COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME;19/06/2015;Mesquita;RJ
CASAGRANDE & DE ANGELI LTDA ME;22/08/2016;Rio Bananal;ES
CASAS & CASAS TELECOMUNICACOES LTDA - ME  ;28/04/2010;Tremembé;SP
CASAVECHIA & PIEROBOM TELECOMUNICACOES LTDA - ME;28/11/2016;Mandaguari;PR
CASSIANO RODRIGUES DE BRITO 97427365100;28/07/2016;Lagoa da Confusão;TO
CASTELLO COMERCIO DE INFORMATICA EIRELI - ME;18/07/2014;Presidente Castello Branco;SC
CASYSTEM COMÉRCIO DE COMPUTADORES E SERVIÇOS LTDA ME;04/05/2015;Itapetinga;BA
CATAGUASES NET LTDA;22/12/2009;Cataguases;MG
CATALAO BANDNET SERVICOS MULTIMIDIA LTDA - ME ;18/08/2009;Catalão;GO
CATANDUVA SISTEMAS A CABO LTDA;29/06/2011;Catanduva;SP
CAWEB INFORMATICA LTDA - ME;02/04/2004;Codó;MA
CAXIAS ONLINE PROJETOS, MONTAGENS E MANUTENCAO LTDA - ME;25/10/2017;Duque de Caxias;RJ
CB NET INTERNET  LTDA;22/02/2012;Campos Borges;RS
CBR INFORMÁTICA LTDA. - ME;14/12/2012;Palmeira;PR
CBR TELECOMUNICAÇÕES LTDA - ME;21/07/2015;Itamogi;MG
CBT TELECOMUNICAÇÃO LTDA;31/07/2014;Sanclerlândia;GO
CCA INFORMATICA LTDA ME;10/06/2009;Apucarana;PR
CCNET - SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA;09/02/2011;Mirangaba;BA
C-CONNECT ACESSO A INTERNET LTDA.;20/02/2009;Criciúma;SC
CD ONE CORPORATION DO BRASIL LTDA;16/09/2010;Quadra;SP
CDI TELECOM LTDA - EPP;25/01/2012;Angelina;SC
CDS COMERCIO LTDA - ME;06/09/2016;Canápolis;BA
CDT NETWORK LTDA-EPP;30/01/2008;Santos;SP
CEARA NETWORKS TELECOMUNICACOES LTDA - ME;02/12/2015;Fortaleza;CE
CEARA TELECOMUNICACOES LTDA - ME;14/08/2014;Potengi;CE
CEA-TELECOM SERVICOS DE TELECOMUNICACOES LTDA;18/08/2009;Atibaia;SP
CECILIO DOS SANTOS LIMA INFORMATICA - ME;07/07/2016;Crato;CE
CEDNET - PROVEDOR DE INTERNET EIRELLI EPP;28/09/2009;Chavantes;SP
CEDNET SERVICOS DE INTERNET EIRELI - EPP;16/08/2016;Ourinhos;SP
CELANTE SERVICOS DE TELECOMUNICACOES LTDA EPP;09/06/2003;Erechim;RS
CELERIX TECNOLOGIA DE TELECOMUNICAÇÕES LTDA;21/09/2016;Curitiba;PR
CELIA FLORES DA SILVA;24/07/2009;Cachoeira do Sul;RS
CELINET INFORMATICA LTDA ME;06/07/2009;Itabaianinha;SE
CELINO RIBEIRO SERVIÇOS DE TELECOMUNICAÇÕES LTDA-ME;26/03/2008;Santo Amaro;BA
CELINTON RODRIGO SCHIMANOSKI -ME;17/04/2014;Planalto;PR
CELIO MARINHO - ME;31/10/2016;Agudos do Sul;PR
CELIO PEREIRA DO PRADO - TELECOMUNICACOES - ME;13/12/2011;Franco da Rocha;SP
CELLNET PROVEDOR DE ACESSO A REDES DE COMUNICACOES LTDA ME;28/04/2010;Rio de Janeiro;RJ
CELLONI DISTRIBUIDORA DE EQUIPAMENTOS DE INFORMATICA E TECNOLOGIA LTDA-ME;20/05/2011;São José do Rio Claro;MT
CELLTECH INFORMATICA LTDA - EPP;26/04/2011;Iaçu;BA
CELLTOCELL EQUIPAMENTOS DE COMUNICACOES LTDA;01/07/2015;Rio de Janeiro;RJ
CELSO HIDEO WATANABE  ME;24/06/2015;União da Vitória;PR
CEMIG TELECOMUNICACOES S.A.-CEMIGTELECOM ;08/12/2003;Belo Horizonte;MG
CEMM SERVICOS DE PROVEDORES E INFORMATICA LTDA - ME;09/01/2018;São Gonçalo;RJ
CENTER CONECTION INFORMATICA - EIRELI - ME;06/02/2017;Arapoti;PR
CENTER MEDIA INFORMATICA EIRELI ME;30/03/2016;Caturaí;GO
CENTER PRESTADORA DE SERVICOS LTDA;17/10/2007;Botelhos;MG
CENTERSAT TELECOMUNICACOES LTDA - ME;16/02/2017;Campos dos Goytacazes;RJ
CENTERTEL MAIS TELECOM LTDA - ME ;02/09/2014;Machado;MG
CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A;17/11/2003;Brasília;DF
CENTRAL DE COMUNICAÇÃO DE TECNOLOGIA KENEDY & SANTOS LTDA;26/03/2013;Acrelândia;AC
CENTRAL DE TECNOLOGIA LTDA - ME;16/07/2014;Bragança;PA
CENTRAL NETWORKS E TECNOLOGIA LTDA - EPP;19/11/2014;São Pedro do Turvo;SP
CENTRAL SAT LTDA ME;20/06/2014;Canarana;MT
CENTRALNET LTDA - ME;08/09/2016;Piedade de Caratinga;MG
CENTRALNET TELECOMUNICACOES LTDA - ME;03/08/2016;Surubim;PE
CENTRANET INTERNET LTDA ;20/12/2012;Soledade;RS
CENTRO DE INFORMATICA E  AUTOMACAO DO ESTADO DE SC S/A;24/06/2005;Florianópolis;SC
CENTRO DE NEGOCIOS CONTEMPORANEO LTDA - ME;13/03/2017;Porto Velho;RO
Centro de Tecnologia Armazem Datacenter Ltda;05/08/2016;Brusque;SC
CENTRO DE TECNOLOGIA BALESTRA & MASCIA LTDA-ME;08/01/2013;Uruguaiana;RS
CENTRO DE TECNOLOGIA E INFORMATICA LTDA - ME;08/06/2017;Salvador;BA
CENTRO NET SOLUÇÕES EM TECNOLOGIA LTDA - ME;19/02/2016;São Pedro do Sul;RS
CENTRO OESTE DIGITAL TELECOMJUNICAÇÕES LTDA;06/01/2017;Brasília;DF
CENTRO OESTE NET LTDA;04/06/2012;Costa Rica;MS
CENTRO OESTE PROVEDOR DE INTERNET BANDA LARGA VIA RADIO LTDA.;03/11/2008;Anápolis;GO
CENTRO OESTE TELECOMUNICAÇÕES LTDA;05/11/2009;Brasília;DF
CENTRO SUL TELECOM INFORMÁTICA EIRELI - ME ;19/03/2014;Barra do Ribeiro;RS
CENTRONET INTERNET LTDA;26/03/2007;São Sepé;RS
CENTURY TELECOM LTDA;10/11/2003;Belo Horizonte;MG
CENTURYLINK COMUNICAÇÕES LTDA.;14/11/2012;São Paulo;SP
CERILUZ PROVEDORES DE INTERNET LTDA;08/04/2015;Ijuí;RS
CERTELNET PROVEDOR DE ACESSO A REDES DE COMUNICACAO LTDA;13/03/2017;Teutônia;RS
CERTTO TELECOMUNICACOES LTDA - EPP;06/04/2006;Cascavel;PR
CESAR ALVES GALDINO DA SILVA - ME;24/07/2015;Itajá;RN
CEW-SERVIÇOS E INFORMÁTICA EIRELI - EPP;17/04/2015;São Paulo;SP
CGC EQUIPAMENTOS E SERVICOS LTDA - ME;24/08/2015;Cianorte;PR
CGM INFORMATICA LTDA - ME;22/05/2015;Encantado;RS
CHAPECO TECNOLOGIA EM TELECOMUNICACOES LTDA;25/02/2009;Chapecó;SC
CHAPNET SERVICOS DE COMUNICACAO LTDA;11/07/2011;Chapadão do Sul;MS
CHARLE RIBEIRO ALMEIDA - ME;06/06/2014;Itaqui;RS
CHARLES  LUCIAN FRANK ROSCHILDT - ME;16/03/2016;Canguçu;RS
CHARLES MARQUES - ME;17/11/2016;Floreal;SP
CHARLES MENA SCATAMBURLO ;20/10/2011;Santa Cruz do Rio Pardo;SP
CHARLES MENDES RODRIGUES - ME;13/03/2017;Caucaia;CE
CHARLLEY PEREIRA DA SILVA;06/09/2011;Virgem da Lapa;MG
CHAVES & LACERDA LTDA - ME;22/09/2017;Gonzaga;MG
CHAVES E LEAL LTDA;25/08/2011;Piranhas;GO
CHINA TELECOM DO BRASIL LTDA ;11/10/2011;São Paulo;SP
